restoID,restoName,restoContact,restoAddress,latLng,latitude,longitude,wilayahID
Bng15,Toko Lintang,0,"Jl. Jend A. Yani 379, Purwareja Klampok 53474","-7.4740055, 109.4291365",-7.4740055,109.4291365,
Bgr6,Doclang 405 (Doclang Jembatan Merah),0,"Jl. Kapten Muslihat No.22, RT.01/RW.03, Cibogor, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124","-6.595581699999999, 106.7885781",-6.5955817,106.7885781,
Bgr7,Doclang Bapak Odik,89636022826,"Jl. Pasir Kuda No.23, Pasir Jaya, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16119","-6.6042627, 106.7855912",-6.6042627,106.7855912,
Bgr8,Laksa Bogor Tradisional Ibu Lili,83819777018,"Food Court SKI Tas Tajur, Jalan Katulampa No. 6, Katulampa, Bogor Timur, RT.06/RW.01, Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16141","-6.6217646, 106.8214054",-6.6217646,106.8214054,
Bgr9,Laksa Bogor Kang Dadi,82164239173,"Jl. Wuwung 2 No.57, RT.02, RT.01/RW.09, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16153","-6.5849107, 106.811756",-6.5849107,106.811756,
Bgr10,Warung Laksa Pak Inin,81297305335,"Jl. Palasari, Palasari, Kec. Cijeruk, Bogor, Jawa Barat 16740","-6.652784899999999, 106.8002684",-6.6527849,106.8002684,
Bgr11,Laksa Bogor Permai: TRISNA,87853535684,"Jl. Sawojajar No.6-43, RT.02/RW.04, Pabaton, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16121","-6.588167899999999, 106.795185",-6.5881679,106.795185,
Bgr12,RM. Nasi Timbel Saung Sunda,2517533575,"Jl. Sholeh Iskandar No.9, RT.04/RW.03, Cibadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164","-6.556564499999999, 106.7778239",-6.5565645,106.7778239,
Bgr13,Nasi Timbel Lido,85774698324,"Jl. Jend. Sudirman Blok, Gg. Lb. Pilar No.58B, Sempur, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16121","-6.581453, 106.7969978",-6.581453,106.7969978,
Bgr14,Nasi Timbel M11,2518328867,"Jl. Botani Square No.11, RT.02/RW.05, Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16129","-6.599115299999999, 106.8066149",-6.5991153,106.8066149,
Bgr15,Asinan Asli Bogor,2518371666,"Jl. Ir. H. Juanda No.90, RT.02/RW.01, Gudang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16123","-6.6039046, 106.7972057",-6.6039046,106.7972057,
Bgr16,Asinan Bogor Gedung Dalam (Pusat),2518313099,"Jl. Siliwangi No.27C, RT.02/RW.02, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16142","-6.6173771, 106.8117629",-6.6173771,106.8117629,
Bgr17,Asinan Bogor & Ayam Goreng Dewi Sri,81218133441,"Address: Jl. Sukasari 1 No.6B, RT.07/RW.02, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16142","-6.6176501, 106.8130779",-6.6176501,106.8130779,
Bgr18,"Warung Makan Soto Mie ""NENE""",81219794878,"KP.Citayam Rt 01/05 no.35 ds.ragajaya kec.bojonggede kab.bogor, Ragajaya, Kec. Bojong Gede, Bojonggede, Bogor, Jawa Barat 16320","-6.450713599999999, 106.8014936",-6.4507136,106.8014936,
Bgr19,Soto Mie Mang Ohim,82125152678,"Jl. Taman Cimanggu Raya No.22, RT.02/RW.02, Kedung Waringin, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164","-6.5684868, 106.7854959",-6.5684868,106.7854959,
Bgr20,Soto Mie Taman Yasmin,8981850970,"Ruko Taman Yasin Sektor VI, Jl Kh. Abdullah Bin Muhammad Nuh, RT.04/RW.09, Curugmekar, Kec. Bogor Bar., Bogor Barat, Jawa Barat 16113","-6.5591129, 106.7683909",-6.5591129,106.7683909,
Jkt3,Kedai Nasi Uduk & Ayam Goreng Zainal Fanani,021-31903863,Jl. Kebon Kacang VIII No.5 Jakarta Pusat,"-6.1878307, 106.8186752",-6.1878307,106.8186752,
Jkt6,Nasi Goreng Kambing Kebon Sirih,0,"Jl. Kebon Sirih, RT.3/RW.2, Raya, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","-6.183021399999999, 106.8271469",-6.1830214,106.8271469,
Jkt7,Kue Khas Betawi Ibu Gomak,0,"Jl. Jati R.Mangun, RT.3/RW.4, Jati, Kec. Pulo Gadung, Kota Jakarta Timur","-6.191883199999999, 106.8996725",-6.1918832,106.8996725,
Jkt8,Kerak telor Bang Sape’i,0813-1465-8527,"jl.Kebagusan III No. 97 Pasar Minggu, RT.2/RW.5, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan","-6.3093657, 106.8295232",-6.3093657,106.8295232,
Jkt9,Warung Bir Pletok,0,"Jl. Situ Babakan No.18, RT.7/RW.5, Srengseng Sawah, Kec. Jagakarsa","-6.3393381, 106.8245786",-6.3393381,106.8245786,
Jkt10,Nasi Uduk / Kue Lopis Betawi,0856-8810-072,"Jalan Raya Bogor KM.21, Kramat Jati, Kramatjati, RT.15/RW.11, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur","-6.2708545, 106.868087",-6.2708545,106.868087,
Ken6,Cafe kendari saefood,85242414999,"Jl. Meyjen S parman No 9, kemaraya, kendari bar.","-3.9658835, 122.5316643",-3.9658835,122.5316643,
Ken7,RM teluk kendari,0,"Tipulu, kendari bar kota kendari","-3.9549231, 122.5514155",-3.9549231,122.5514155,
Ken8,RM Kampoeng empang,82299933427,"Kambu, kecamatan kambu kota kendari","-4.0039848, 122.5287884",-4.0039848,122.5287884,
Ken9,Rm Medulu,4013125400,Jl. Lawata No 2 mandonga kec mandonga kota kendari,"-3.9663426, 122.5155817",-3.9663426,122.5155817,
Mks1,Coto nusantara 1,0822-5132-2220,Jl. Nusantara Baru No.142 Ende Kec.Wajo Kota Makassar,"-5.1273792, 119.4082589",-5.1273792,119.4082589,
